,text,text1,text2,tag,tag1,tag2,score1,score2,num_text,num_text1,num_text2,sensitivity(0.6),sensitivity(0.6)(True Tag),sensitivity(0.6)(#text each Tag),precision(0.6),precision(0.6)(True Tag),precision(0.6)(above cutoff),sensitivity(0.7),sensitivity(0.7)(True Tag),sensitivity(0.7)(#text each Tag),precision(0.7),precision(0.7)(True Tag),precision(0.7)(above cutoff),sensitivity(0.8),sensitivity(0.8)(True Tag),sensitivity(0.8)(#text each Tag),precision(0.8),precision(0.8)(True Tag),precision(0.8)(above cutoff)
448,기업 경영 3대 악재는 “원자재 가격 상승·코로나 재확산·금리 인상”,기업경영 3대 부담…“원자재값 상승·코로나 재확산·금리인상”,국내 기업 78% “코로나 위기 극복 못했다”···원자재값 상승·코로나 재확산·금리인상 부담,48,48,48,0.8729000091552734,0.6080417677909818,1717,449,441,66.67,6,9,100.0,6,6,55.56,5,9,100.0,5,5,33.33,3,9,100.0,3,3
449,기업경영 3대 부담…“원자재값 상승·코로나 재확산·금리인상”,기업이 꼽은 '3大 부담'…원자재가 상승·코로나 재확산·금리인상,"기업경영 3대 부담…""원자재價 상승, 코로나 재확산, 금리인상""",48,48,48,0.9380999803543091,1.0,1717,443,442,66.67,6,9,100.0,6,6,55.56,5,9,100.0,5,5,44.44,4,9,100.0,4,4
450,"한앤코, 홍원식 남양유업 회장과 결국 ‘소송전'으로","남양유업 결국 소송전…한앤코 ""홍원식 회장에 소송""","남양유업 매각 결국 소송전…한앤코 ""홍원식, 계약 이행하라""",49,49,49,0.9226999878883362,1.0,1717,451,453,70.0,7,10,87.5,7,8,40.0,4,10,100.0,4,4,30.0,3,10,100.0,3,3
451,"남양유업 결국 소송전…한앤코 ""홍원식 회장에 소송""","한앤코, 홍원식 남양유업 회장 결국 소송전…""이행 촉구 소송 제기""","한앤코, 홍원식 남양유업 회장 결국 소송전…""이행 촉구 소송 제기""",49,49,49,0.967199981212616,1.0000000000000002,1717,459,459,90.0,9,10,75.0,9,12,60.0,6,10,100.0,6,6,30.0,3,10,100.0,3,3
452,"[마켓인]한앤코-남양유업 결국 소송전…""계약 이행해야""","남양유업 매각 결국 소송전…한앤코 ""홍원식, 계약 이행하라""","한앤코, 홍원식 남양유업 회장과 결국 ‘소송전'으로",49,49,49,0.828499972820282,0.885632780963519,1717,453,450,70.0,7,10,100.0,7,7,10.0,1,10,100.0,1,1,10.0,1,10,100.0,1,1
453,"남양유업 매각 결국 소송전…한앤코 ""홍원식, 계약 이행하라""","[마켓인]한앤코-남양유업 결국 소송전…""계약 이행해야""","한앤코, 홍원식 남양유업 회장과 결국 ‘소송전'으로",49,49,49,0.828499972820282,1.0,1717,452,450,90.0,9,10,90.0,9,10,50.0,5,10,100.0,5,5,10.0,1,10,100.0,1,1
454,"잡음 빚던 남양유업 M&A 결국…한앤코, 홍원식에 소송 제기 [전문]","남양유업 M&A 소송전으로…한앤코, 홍원식 회장에 계약이행 소 제기","남양유업 결국 소송전…한앤코 ""홍원식 회장에 소송""",49,49,49,0.7293999791145325,0.8005112596871796,1717,456,451,70.0,7,10,100.0,7,7,10.0,1,10,100.0,1,1,0.0,0,10,0.0,0,0
455,"남양유업 매각 소송전…한앤코 ""홍원식 측, 무리한 요구 남발""(종합)","남양유업 매각 결국 소송전…한앤코 ""홍원식, 계약 이행하라""","한앤코, 홍원식 남양유업 회장과 결국 ‘소송전'으로",49,49,49,0.7379000186920166,0.8508967263324075,1717,453,450,50.0,5,10,100.0,5,5,10.0,1,10,100.0,1,1,0.0,0,10,0.0,0,0
456,"남양유업 M&A 소송전으로…한앤코, 홍원식 회장에 계약이행 소 제기","한앤코, 홍원식 남양유업 회장과 결국 ‘소송전'으로","남양유업 매각 소송전…한앤코 ""홍원식 측, 무리한 요구 남발""(종합)",49,49,49,0.8108000159263611,0.8065071255404106,1717,450,455,80.0,8,10,100.0,8,8,50.0,5,10,100.0,5,5,10.0,1,10,100.0,1,1
457,남양유업 인수전 끝내 법적 분쟁 비화…남양유업 오너 變心에 한앤코 소송제기,"한앤코, 홍원식 남양유업 회장 결국 소송전…""이행 촉구 소송 제기""","남양유업 M&A 소송전으로…한앤코, 홍원식 회장에 계약이행 소 제기",49,49,49,0.7184000015258789,0.7610175654207044,1717,459,456,80.0,8,10,100.0,8,8,20.0,2,10,100.0,2,2,0.0,0,10,0.0,0,0
458,새로운 조건 내건 홍원식 회장?… '남양유업' 한앤코 결국 소송전,"남양유업 결국 소송전…한앤코 ""홍원식 회장에 소송""","한앤코, 홍원식 남양유업 회장과 결국 ‘소송전'으로",49,49,49,0.8058000206947327,1.0,1717,451,450,50.0,5,10,100.0,5,5,30.0,3,10,100.0,3,3,20.0,2,10,100.0,2,2
459,"한앤코, 홍원식 남양유업 회장 결국 소송전…""이행 촉구 소송 제기""","남양유업 결국 소송전…한앤코 ""홍원식 회장에 소송""","남양유업 결국 소송전…한앤코 ""홍원식 회장에 소송""",49,49,49,0.967199981212616,1.0000000000000002,1717,451,451,90.0,9,10,75.0,9,12,60.0,6,10,100.0,6,6,30.0,3,10,100.0,3,3
460,28호 A-벤처스에 농기계 원격점검 기술 개발 '크래블',"농기계 원격점검 ‘크래블’, 농업분야 28호 벤처기업 선정",손가락 찔러 피 내기 '그만'…눈물로 혈당관리하는 기술 개발,50,50,51,0.7336000204086304,0.7990208989833463,1717,465,470,50.0,3,6,100.0,3,3,33.33,2,6,100.0,2,2,0.0,0,6,0.0,0,0
461,"농식품부, A-벤처스에 농기계 정비업체 '크래블' 선정","농식품부, A-벤처스 제28호에 농기계 개발 ‘크래블' 선정","농기계 원격점검 ‘크래블’, 농업분야 28호 벤처기업 선정",50,50,50,0.7867000102996826,1.0,1717,462,465,50.0,3,6,100.0,3,3,16.67,1,6,100.0,1,1,0.0,0,6,0.0,0,0
462,"농식품부, A-벤처스 제28호에 농기계 개발 ‘크래블' 선정","농식품부, A-벤처스에 농기계 정비업체 '크래블' 선정","농식품부, A-벤처스에 농기계 정비업체 '크래블' 선정",50,50,50,0.7867000102996826,0.7144798550950634,1717,461,461,50.0,3,6,100.0,3,3,50.0,3,6,100.0,3,3,0.0,0,6,0.0,0,0
463,"농기계 원격 점검 '크래블', A-벤처스 선정…""임대사업소에 시스템 구축 목표""","농기계 원격점검 ‘크래블’, 농업분야 28호 벤처기업 선정",삼성 폴더블폰 돌풍… 대중화 목표 순항,50,50,35,0.6869999766349792,0.5007245017073757,1717,465,292,50.0,3,6,100.0,3,3,0.0,0,6,0.0,0,0,0.0,0,6,0.0,0,0
464,"완주군, 추수철 농기계 임대 사전 예약…50% 감면 추진",50대 1차 접종률 84.5%…18~49세 예약률 68.5%(종합),"해수부, 공유수면 24개 지구 매립 추진",50,76,110,0.3644999861717224,1.0,1717,700,978,0.0,0,6,0.0,0,0,0.0,0,6,0.0,0,0,0.0,0,6,0.0,0,0
465,"농기계 원격점검 ‘크래블’, 농업분야 28호 벤처기업 선정",28호 A-벤처스에 농기계 원격점검 기술 개발 '크래블',"농식품부, A-벤처스에 농기계 정비업체 '크래블' 선정",50,50,50,0.7336000204086304,1.0,1717,460,461,66.67,4,6,100.0,4,4,33.33,2,6,100.0,2,2,0.0,0,6,0.0,0,0
466,피 뽑는 대신 콘택트렌즈 끼는 것만으로 혈당 관리 ‘OK’,손가락 찔러 피 내기 '그만'…눈물로 혈당관리하는 기술 개발,"농식품부 ""쌀값 소폭 하향세 전환…수확기 안정적 수급 관리""",51,51,118,0.5439000129699707,1.0,1717,470,1061,0.0,0,5,0.0,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,0,0
467,스마트 콘택트렌즈 이용 비침습적 당뇨병 자가 진단 시스템 개발,눈물로 당뇨병 진단하는 스마트렌즈 개발,눈물로 당뇨병 진단하는 스마트렌즈 개발,51,51,51,0.8676999807357788,1.0,1717,468,468,40.0,2,5,100.0,2,2,40.0,2,5,100.0,2,2,40.0,2,5,100.0,2,2
468,눈물로 당뇨병 진단하는 스마트렌즈 개발,스마트 콘택트렌즈 이용 비침습적 당뇨병 자가 진단 시스템 개발,스마트 콘택트렌즈 이용 비침습적 당뇨병 자가 진단 시스템 개발,51,51,51,0.8676999807357788,1.0,1717,467,467,40.0,2,5,100.0,2,2,40.0,2,5,100.0,2,2,20.0,1,5,100.0,1,1
469,"지스트, 콘택트렌즈 이용한 당뇨병 자가 진단 시스템 개발",스마트 콘택트렌즈 이용 비침습적 당뇨병 자가 진단 시스템 개발,스마트 콘택트렌즈 이용 비침습적 당뇨병 자가 진단 시스템 개발,51,51,51,0.8587999939918518,1.0,1717,467,467,40.0,2,5,100.0,2,2,40.0,2,5,100.0,2,2,20.0,1,5,100.0,1,1
470,손가락 찔러 피 내기 '그만'…눈물로 혈당관리하는 기술 개발,피 뽑는 대신 콘택트렌즈 끼는 것만으로 혈당 관리 ‘OK’,28호 A-벤처스에 농기계 원격점검 기술 개발 '크래블',51,51,50,0.5439000129699707,0.7990208989833463,1717,466,460,0.0,0,5,0.0,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,0,0
471,"뉴질랜드 무역산업진흥청 공식 후원 ‘스토어 뉴질랜드’ 오픈, 국내 소비자에게 지속 가능한 뉴질랜드 제품 제공","시멘트업계 ""탄소중립 위해 적극투자…국회 지속 지원 당부""","뉴질랜드 '코로나 제로' 전략 시험대…英언론 ""사회주의 은둔국""",52,94,52,0.383899986743927,0.7821513107627539,1717,853,472,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
472,"뉴질랜드 '코로나 제로' 전략 시험대…英언론 ""사회주의 은둔국""","바이든 ""코로나 조사 무책임한 국가"" 공세에 中 ""정치적 장난질""","뉴질랜드 무역산업진흥청 공식 후원 ‘스토어 뉴질랜드’ 오픈, 국내 소비자에게 지속 가능한 뉴질랜드 제품 제공",52,161,52,0.4334999918937683,0.7821513107627539,1717,1478,471,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,7,0.0,0,0
473,뉴질랜드서 첫 코로나 백신 접종 사망자 발생,뉴질랜드서 화이자 백신 부작용 첫 사망자 발생,"""20대는 코로나 걸려도 심하지 않다는데… 백신 꼭 맞아야 하나요?""",52,52,76,0.9257000088691711,0.6003585159302071,1717,477,699,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4
474,‘방역 모범국’ 뉴질랜드서 화이자 백신 맞고 첫 사망사고,"뉴질랜드 ""화이자 백신 접종 이후 심근염 사망 첫 사례"" 보고",뉴질랜드서 화이자 백신 부작용 첫 사망자 발생,52,52,52,0.8998000025749207,0.5977091195965646,1717,475,477,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4
475,"뉴질랜드 ""화이자 백신 접종 이후 심근염 사망 첫 사례"" 보고",‘방역 모범국’ 뉴질랜드서 화이자 백신 맞고 첫 사망사고,"뉴질랜드 ""화이자 백신 부작용 첫 사망자 나와""",52,52,52,0.8998000025749207,0.818766742082345,1717,474,476,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4
476,"뉴질랜드 ""화이자 백신 부작용 첫 사망자 나와""",뉴질랜드서 화이자 백신 부작용 첫 사망자 발생,"뉴질랜드 ""화이자 백신 접종 이후 심근염 사망 첫 사례"" 보고",52,52,52,0.9139999747276306,0.818766742082345,1717,477,475,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4
477,뉴질랜드서 화이자 백신 부작용 첫 사망자 발생,뉴질랜드서 첫 코로나 백신 접종 사망자 발생,‘방역 모범국’ 뉴질랜드서 화이자 백신 맞고 첫 사망사고,52,52,52,0.9257000088691711,0.5977091195965646,1717,473,474,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4,57.14,4,7,100.0,4,4
478,"담원 기아, T1 3대1로 눌러..LCK 3연속 우승","담원 기아, LCK 3연속 우승…T1 3대1로 눌러",군사작전 방불케 하는 ‘롤’ 우승 트로피 호송··· ADT캡스가 맡았다,53,24,4,0.9657999873161316,1.0,1717,204,29,50.0,2,4,66.67,2,3,25.0,1,4,50.0,1,2,25.0,1,4,50.0,1,2
479,"ADT캡스, '2021 LCK 서머'  우승 트로피 호송 맡아","ADT캡스, 'LoL 챔피언스 코리아 서머' 우승 트로피 호송","담원 기아, T1 꺾고 2021 LCK 서머 우승...김정균 감독 V10",53,4,53,0.8001000285148621,1.0000000000000002,1717,30,480,0.0,0,4,0.0,0,1,0.0,0,4,0.0,0,1,0.0,0,4,0.0,0,1
480,"담원 기아, T1 꺾고 2021 LCK 서머 우승...김정균 감독 V10","담원 기아, T1 꺾고 LCK 서머 우승…3연속 챔피언 등극","ADT캡스, '2021 LCK 서머'  우승 트로피 호송 맡아",53,53,53,0.6473000049591064,1.0000000000000002,1717,481,479,50.0,2,4,66.67,2,3,0.0,0,4,0.0,0,0,0.0,0,4,0.0,0,0
481,"담원 기아, T1 꺾고 LCK 서머 우승…3연속 챔피언 등극","담원 기아, LCK 3연속 우승…T1 3대1로 눌러",군사작전 방불케 하는 ‘롤’ 우승 트로피 호송··· ADT캡스가 맡았다,53,24,4,0.9075000286102295,1.0,1717,204,29,50.0,2,4,50.0,2,4,25.0,1,4,50.0,1,2,25.0,1,4,50.0,1,2
482,코로나19 신규 확진 대구 85명·경북 41명,"코로나19 신규 확진자, 대구 85명·경북 41명",대구 요양병원서 또 집단감염…의료기관 2곳발 31명 등 85명 신규 확진,54,54,54,0.984000027179718,0.7964997243569363,1717,489,488,21.43,3,14,42.86,3,7,14.29,2,14,100.0,2,2,7.14,1,14,100.0,1,1
483,대구서 85명 신규 확진…요양병원 또다른 감염 시작,"대구, 요양병원 집단감염 등 85명 신규 확진",꺾이지 않는 확산세…대구 요양병원 등 85명 신규 확진,54,54,54,0.8743000030517578,0.8026834771217128,1717,492,486,50.0,7,14,100.0,7,7,42.86,6,14,100.0,6,6,14.29,2,14,100.0,2,2
484,대구 85명 확진... 요양병원에서도 집단감염,"대구, 요양병원 집단감염 등 85명 신규 확진",대구 요양병원서 또 집단감염…의료기관 2곳발 31명 등 85명 신규 확진,54,54,54,0.8482000231742859,0.9232368306942217,1717,492,488,42.86,6,14,100.0,6,6,42.86,6,14,100.0,6,6,7.14,1,14,100.0,1,1
485,대구 요양병원 19명 집단감염…11명 돌파감염 확인(종합),대구서 요양병원 또 19명 집단감염…밤새 85명 신규확진(종합),"대구 요양병원 19명 집단감염…상당수 고위험군, 방역당국 긴장",54,54,54,0.7470999956130981,0.8242264010114977,1717,495,490,14.29,2,14,66.67,2,3,14.29,2,14,100.0,2,2,0.0,0,14,0.0,0,0
486,꺾이지 않는 확산세…대구 요양병원 등 85명 신규 확진,"대구, 요양병원 집단감염 등 85명 신규 확진","대구, 요양병원 집단감염 등 85명 신규 확진",54,54,54,0.9154999852180481,0.8974402547127414,1717,492,492,50.0,7,14,100.0,7,7,42.86,6,14,100.0,6,6,28.57,4,14,100.0,4,4
487,가톨릭대병원발 9명 등 확산세 지속…대구 57명 신규 확진,대구서 요양병원 또 19명 집단감염…밤새 85명 신규확진(종합),1487명 신규 확진…전국적 확산세 지속,54,54,17,0.6097000241279602,0.6188392676029596,1717,495,132,21.43,3,14,100.0,3,3,0.0,0,14,0.0,0,0,0.0,0,14,0.0,0,0
488,대구 요양병원서 또 집단감염…의료기관 2곳발 31명 등 85명 신규 확진,대구시 신규 확진 85명…병원 관련 31명,대구 85명 확진... 요양병원에서도 집단감염,54,54,54,0.8432999849319458,0.9232368306942217,1717,494,484,50.0,7,14,100.0,7,7,42.86,6,14,100.0,6,6,21.43,3,14,100.0,3,3
489,"코로나19 신규 확진자, 대구 85명·경북 41명",코로나19 신규 확진 대구 85명·경북 41명,코로나19 신규 확진 대구 85명·경북 41명,54,54,54,0.984000027179718,0.7940107069880875,1717,482,482,28.57,4,14,44.44,4,9,14.29,2,14,100.0,2,2,7.14,1,14,100.0,1,1
490,"대구 요양병원 19명 집단감염…상당수 고위험군, 방역당국 긴장",대구 요양병원 19명 집단감염…11명 돌파감염 확인(종합),대구 요양병원 19명 집단감염…11명 돌파감염 확인(종합),54,54,54,0.7329000234603882,0.8242264010114977,1717,485,485,21.43,3,14,75.0,3,4,14.29,2,14,100.0,2,2,0.0,0,14,0.0,0,0
491,"대구, 57명 코로나19 신규 확진…누적 1만3510명","코로나19 신규 확진자, 대구 85명·경북 41명",코로나19 신규 확진 대구 85명·경북 41명,54,54,54,0.777999997138977,0.7337593171015839,1717,489,482,14.29,2,14,15.38,2,13,14.29,2,14,28.57,2,7,0.0,0,14,0.0,0,0
492,"대구, 요양병원 집단감염 등 85명 신규 확진",꺾이지 않는 확산세…대구 요양병원 등 85명 신규 확진,꺾이지 않는 확산세…대구 요양병원 등 85명 신규 확진,54,54,54,0.9154999852180481,0.8974402547127414,1717,486,486,64.29,9,14,100.0,9,9,42.86,6,14,100.0,6,6,42.86,6,14,100.0,6,6
493,학교·병원 등 소규모 집단 감염 이어져…대구서 57명 신규 확진,"대구, 요양병원 집단감염 등 85명 신규 확진","코로나19 신규 확진 1,487명",54,54,163,0.652899980545044,0.6016307541388273,1717,492,1499,28.57,4,14,100.0,4,4,0.0,0,14,0.0,0,0,0.0,0,14,0.0,0,0
494,대구시 신규 확진 85명…병원 관련 31명,꺾이지 않는 확산세…대구 요양병원 등 85명 신규 확진,코로나19 신규 확진 대구 85명·경북 41명,54,54,54,0.8547999858856201,0.6360009326627785,1717,486,482,64.29,9,14,100.0,9,9,42.86,6,14,100.0,6,6,21.43,3,14,100.0,3,3
495,대구서 요양병원 또 19명 집단감염…밤새 85명 신규확진(종합),"대구, 요양병원 집단감염 등 85명 신규 확진","대구, 요양병원 집단감염 등 85명 신규 확진",54,54,54,0.8353999853134155,0.6331129963887185,1717,492,492,71.43,10,14,100.0,10,10,57.14,8,14,100.0,8,8,7.14,1,14,100.0,1,1
496,"버스 운행대기 중 세차하고 식사했다면... 대법 ""일부만 노동시간""","대법 ""버스기사 대기시간은 노동시간 아냐""...노동시간 인정 원심 파기",대법 “버스기사 대기시간은 전부 노동시간 아니다”,55,55,55,0.7548999786376953,0.6943906546379001,1717,503,500,88.89,8,9,100.0,8,8,44.44,4,9,100.0,4,4,0.0,0,9,0.0,0,0
497,"""버스기사 대기시간, 근로라고 볼 수 없다"" 대법, 원심 깬 이유","대법 “버스기사 대기시간, 근로시간으로 볼 수 없어”","대법 ""버스기사 대기시간 전부가 노동시간에 포함되진 않는다""",55,55,55,0.8870999813079834,0.8690793874070989,1717,504,502,88.89,8,9,100.0,8,8,66.67,6,9,100.0,6,6,33.33,3,9,100.0,3,3
498,"대법, “버스기사 대기시간, 쉬었다면 노동시간 아냐” 파기 환송",대법 “버스기사 대기시간은 전부 노동시간 아니다”,"대법 ""버스기사 대기시간… 차량 청소·점검했어도 근로시간 아냐""",55,55,55,0.8382999897003174,0.9042488096702218,1717,500,499,88.89,8,9,100.0,8,8,88.89,8,9,100.0,8,8,33.33,3,9,100.0,3,3
499,"대법 ""버스기사 대기시간… 차량 청소·점검했어도 근로시간 아냐""","대법 ""버스 운전기사 '대기시간' 전부 근로시간이라 볼 수 없어""","대법, “버스기사 대기시간, 쉬었다면 노동시간 아냐” 파기 환송",55,55,55,0.7853999733924866,0.9042488096702218,1717,501,498,88.89,8,9,100.0,8,8,66.67,6,9,100.0,6,6,0.0,0,9,0.0,0,0
500,대법 “버스기사 대기시간은 전부 노동시간 아니다”,"대법 ""버스기사 대기시간 전부가 노동시간에 포함되진 않는다""","대법 ""버스기사 대기시간은 노동시간 아냐""...노동시간 인정 원심 파기",55,55,55,0.913100004196167,0.8327853048431425,1717,502,503,88.89,8,9,100.0,8,8,88.89,8,9,100.0,8,8,66.67,6,9,100.0,6,6
501,"대법 ""버스 운전기사 '대기시간' 전부 근로시간이라 볼 수 없어""","대법 “버스기사 대기시간, 근로시간으로 볼 수 없어”","대법 “버스기사 대기시간, 근로시간으로 볼 수 없어”",55,55,55,0.9280999898910522,0.8534312816328323,1717,504,504,88.89,8,9,100.0,8,8,77.78,7,9,100.0,7,7,44.44,4,9,100.0,4,4
502,"대법 ""버스기사 대기시간 전부가 노동시간에 포함되진 않는다""",대법 “버스기사 대기시간은 전부 노동시간 아니다”,"대법 “버스기사 대기시간, 근로시간으로 볼 수 없어”",55,55,55,0.913100004196167,0.8987628884517211,1717,500,504,88.89,8,9,100.0,8,8,77.78,7,9,100.0,7,7,22.22,2,9,100.0,2,2
503,"대법 ""버스기사 대기시간은 노동시간 아냐""...노동시간 인정 원심 파기",대법 “버스기사 대기시간은 전부 노동시간 아니다”,"대법, “버스기사 대기시간, 쉬었다면 노동시간 아냐” 파기 환송",55,55,55,0.8859000205993652,0.8530077436108685,1717,500,498,88.89,8,9,100.0,8,8,88.89,8,9,100.0,8,8,33.33,3,9,100.0,3,3
504,"대법 “버스기사 대기시간, 근로시간으로 볼 수 없어”","대법 ""버스 운전기사 '대기시간' 전부 근로시간이라 볼 수 없어""","대법 ""버스기사 대기시간 전부가 노동시간에 포함되진 않는다""",55,55,55,0.9280999898910522,0.8987628884517211,1717,501,502,88.89,8,9,100.0,8,8,88.89,8,9,100.0,8,8,55.56,5,9,100.0,5,5
505,검찰 '보톡스 기술유출' 대웅제약 본사·공장·연구소 압수수색,"檢, '보톡스 기술유출 혐의' 대웅제약 본사·공장 압수수색","檢, '보톡스 기술유출 혐의' 대웅제약 본사·공장 압수수색",56,56,56,0.8654999732971191,1.0,1717,510,510,85.71,6,7,100.0,6,6,85.71,6,7,100.0,6,6,42.86,3,7,100.0,3,3
506,"檢, 대웅제약 본사·공장 등 압수수색…보톡스 기술 도용 의혹","'보톡스 기술 유출 의혹'…檢, 대웅제약 공장 등 압수수색","'보톡스 기술 유출 의혹'…檢, 대웅제약 공장 등 압수수색",56,56,56,0.940500020980835,1.0,1717,508,508,85.71,6,7,100.0,6,6,85.71,6,7,100.0,6,6,42.86,3,7,100.0,3,3
507,"[단독] 대웅제약 연구소·공장 압수수색… 檢, ‘보톡스 기술유출’ 수사 속도","檢, '보톡스 기술유출 혐의' 대웅제약 본사·공장 압수수색",검찰 '보톡스 기술유출' 대웅제약 본사·공장·연구소 압수수색,56,56,56,0.8242999911308289,0.8735743685597577,1717,510,505,85.71,6,7,100.0,6,6,57.14,4,7,100.0,4,4,28.57,2,7,100.0,2,2
508,"'보톡스 기술 유출 의혹'…檢, 대웅제약 공장 등 압수수색","檢, 대웅제약 본사·공장 등 압수수색…보톡스 기술 도용 의혹","檢, 대웅제약 본사·공장 등 압수수색…보톡스 기술 도용 의혹",56,56,56,0.940500020980835,1.0,1717,506,506,85.71,6,7,100.0,6,6,85.71,6,7,100.0,6,6,28.57,2,7,100.0,2,2
509,"검찰, 메디톡스 고발 '보톡스 기술 유출' 대웅제약 압수수색","검찰, ‘보톡스 기술 유출’ 의혹 대웅제약 압수수색","檢, 대웅제약 본사·공장 등 압수수색…보톡스 기술 도용 의혹",56,56,56,0.8889999985694885,0.8866535496456545,1717,511,506,85.71,6,7,100.0,6,6,71.43,5,7,100.0,5,5,14.29,1,7,100.0,1,1
510,"檢, '보톡스 기술유출 혐의' 대웅제약 본사·공장 압수수색","檢, 대웅제약 본사·공장 등 압수수색…보톡스 기술 도용 의혹",검찰 '보톡스 기술유출' 대웅제약 본사·공장·연구소 압수수색,56,56,56,0.9230999946594238,1.0,1717,506,505,85.71,6,7,100.0,6,6,85.71,6,7,100.0,6,6,57.14,4,7,100.0,4,4
511,"검찰, ‘보톡스 기술 유출’ 의혹 대웅제약 압수수색","검찰, 메디톡스 고발 '보톡스 기술 유출' 대웅제약 압수수색","檢, 대웅제약 본사·공장 등 압수수색…보톡스 기술 도용 의혹",56,56,56,0.8889999985694885,1.0,1717,509,506,85.71,6,7,85.71,6,7,71.43,5,7,100.0,5,5,14.29,1,7,100.0,1,1
512,대전권 신규택지에 '죽동2지구'…공공주택 7000호 짓는다,대전 유성구 죽동 일원에 주택 7000호 규모 신규택지 조성,바다가 일자리다…'2021 해양수산 온라인 취업박람회' 30일 개막,57,57,1,0.8057000041007996,0.0,1717,519,0,55.56,5,9,83.33,5,6,33.33,3,9,100.0,3,3,11.11,1,9,100.0,1,1
513,대전권 신규 택지에 유성구 죽동 선정...7000호 규모,대전권 신규 택지로 유성 죽동 선정…7000가구 공급,대전권 신규 택지로 유성 죽동2지구 선정,57,57,57,0.8321999907493591,0.7717235416316662,1717,515,516,44.44,4,9,100.0,4,4,33.33,3,9,100.0,3,3,11.11,1,9,100.0,1,1
514,"""유성 죽동 84만㎡터에 7천 세대 택지 공급""",대전 죽동 7천 호 공급…유성 또 '탈바꿈',서울서 30분…의왕군포안산 등에 3기신도시 14만가구 공급,57,57,181,0.8084999918937683,1.0,1717,518,1688,33.33,3,9,100.0,3,3,22.22,2,9,100.0,2,2,11.11,1,9,100.0,1,1
515,대전권 신규 택지로 유성 죽동 선정…7000가구 공급,대전권 신규 택지에 유성구 죽동 선정...7000호 규모,대전권 신규 택지로 유성 죽동2지구 선정,57,57,57,0.8321999907493591,0.7988722362162863,1717,513,516,66.67,6,9,100.0,6,6,55.56,5,9,100.0,5,5,11.11,1,9,100.0,1,1
516,대전권 신규 택지로 유성 죽동2지구 선정,대전권 신규 택지에 유성구 죽동 선정...7000호 규모,대전권 신규 택지로 유성 죽동 선정…7000가구 공급,57,57,57,0.6973999738693237,0.7988722362162863,1717,513,515,33.33,3,9,100.0,3,3,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
517,대전·세종 등 2만가구 규모 지방 소규모택지 3곳 지정,"세종 조치원·연기, 대전 죽동2 2만가구…""양질의 주거, 자족기능 확충""",대전 유성구 죽동 일원에 주택 7000호 규모 신규택지 조성,57,57,57,0.5194000005722046,0.6243926322012678,1717,520,519,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
518,대전 죽동 7천 호 공급…유성 또 '탈바꿈',"""유성 죽동 84만㎡터에 7천 세대 택지 공급""","세종 조치원·연기, 대전 죽동2 2만가구…""양질의 주거, 자족기능 확충""",57,57,57,0.8084999918937683,0.7568489300399854,1717,514,520,22.22,2,9,100.0,2,2,22.22,2,9,100.0,2,2,11.11,1,9,100.0,1,1
519,대전 유성구 죽동 일원에 주택 7000호 규모 신규택지 조성,대전권 신규택지에 '죽동2지구'…공공주택 7000호 짓는다,대전·세종 등 2만가구 규모 지방 소규모택지 3곳 지정,57,57,57,0.8057000041007996,0.6243926322012678,1717,512,517,33.33,3,9,60.0,3,5,33.33,3,9,100.0,3,3,11.11,1,9,100.0,1,1
520,"세종 조치원·연기, 대전 죽동2 2만가구…""양질의 주거, 자족기능 확충""","현대차證 ""엔씨, 블소2 흥행 참패로 과매도 구간 근접…매수 유지""",대전 죽동 7천 호 공급…유성 또 '탈바꿈',57,111,57,0.544700026512146,0.7568489300399854,1717,984,518,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
521,코로나 19 '집콕' 덕에 웃는 가구업계…디자인 출원 40% 늘었다,코로나19 덕에 웃는 가구 업계…디자인 출원 활기,"코로나 반사이익에 가구업계 '화창', 디자인 출원 활기",58,58,58,0.8098000288009644,0.7027575142343667,1717,530,524,58.33,7,12,100.0,7,7,50.0,6,12,100.0,6,6,8.33,1,12,100.0,1,1
522,코로나19에 1년새 가구 디자인 출원 41% 증가,코로나 19 '집콕' 덕에 웃는 가구업계…디자인 출원 40% 늘었다,"코로나에 집콕·재택근무 늘자 ""가구 바꾸자""…디자인 출원 급증",58,58,58,0.7488999962806702,0.8917931722103424,1717,521,527,25.0,3,12,100.0,3,3,8.33,1,12,100.0,1,1,0.0,0,12,0.0,0,0
